,0
0,"{'B_PSH': 1493498.1227492173, 'N_pv1_sub': 909.4914601205235, 'a0_spring': 37.65123026696117, 'a1_spring': -0.15517846188203993, 'a7_spring': -0.9886559702849518, 'b1_spring': -0.848511841509326, 'b7_spring': -0.5044602894976137, 'a0_summer': 37.25243095148659, 'a1_summer': -1.1764660990871698, 'a7_summer': -0.9494527370153603, 'b1_summer': -0.513522495036441, 'b7_summer': 0.4740757763589901, 'a0_fall': 37.436735690996414, 'a1_fall': 1.229254403117277, 'a7_fall': -0.8738854923212886, 'b1_fall': -0.17528175777946858, 'b7_fall': -0.7693721322093203, 'a0_winter': 37.531189863262455, 'a1_winter': 1.0296466720032984, 'a7_winter': -0.6120572822784092, 'b1_winter': -0.8010077792640048, 'b7_winter': -0.737463452402237, 'ERD_choice': 1}"
1,"{'B_PSH': 1492240.0354652766, 'N_pv1_sub': 914.7407408082136, 'a0_spring': 37.48589544404965, 'a1_spring': 0.026990113190789866, 'a7_spring': -0.8470376424300048, 'b1_spring': -0.6897457891018114, 'b7_spring': -0.8098376227412472, 'a0_summer': 37.209223777667525, 'a1_summer': -1.311489235978955, 'a7_summer': -0.9349341542695997, 'b1_summer': -0.4832983576271342, 'b7_summer': 0.492891211628733, 'a0_fall': 37.406918968774534, 'a1_fall': 1.431127282559163, 'a7_fall': 0.45574893293328333, 'b1_fall': 0.14764963674154963, 'b7_fall': 0.6771718267447978, 'a0_winter': 37.276584479648335, 'a1_winter': 0.9412226539556963, 'a7_winter': 1.1419503679430665, 'b1_winter': -1.0479725161540039, 'b7_winter': 1.4545699579376064, 'ERD_choice': 1}"
2,"{'B_PSH': 1492465.252111305, 'N_pv1_sub': 909.6622040783948, 'a0_spring': 37.49130035351047, 'a1_spring': 0.09776026610033305, 'a7_spring': -0.8598656557547828, 'b1_spring': -0.6880241856023275, 'b7_spring': -0.4213440342117241, 'a0_summer': 37.22968706734313, 'a1_summer': -1.2952325134538587, 'a7_summer': -1.1685310668429911, 'b1_summer': -0.5135216873557135, 'b7_summer': 0.24156549330604363, 'a0_fall': 37.40306251687848, 'a1_fall': 1.229254403117277, 'a7_fall': -0.9059676101920363, 'b1_fall': 0.1466618198558665, 'b7_fall': -0.7139714047699504, 'a0_winter': 37.533939316168365, 'a1_winter': 0.9473854722262818, 'a7_winter': -0.4622354014542112, 'b1_winter': 0.2767426486925104, 'b7_winter': -0.7286269500318221, 'ERD_choice': 1}"
3,"{'B_PSH': 1492485.5634199767, 'N_pv1_sub': 889.7117435956253, 'a0_spring': 37.41932710232381, 'a1_spring': 0.15457480736995072, 'a7_spring': -0.859448930131691, 'b1_spring': -0.8820112670889965, 'b7_spring': -1.0549710052346841, 'a0_summer': 37.228167920051014, 'a1_summer': -1.3546666138395551, 'a7_summer': -0.9279647336036316, 'b1_summer': -0.48369400825024744, 'b7_summer': 0.46811531902578507, 'a0_fall': 37.47547700974009, 'a1_fall': 1.4081418378824198, 'a7_fall': 0.2344200969712644, 'b1_fall': 0.14418131770331183, 'b7_fall': 0.4198193583231253, 'a0_winter': 37.20370923745964, 'a1_winter': -0.31866934570477007, 'a7_winter': -0.4533317834988256, 'b1_winter': 0.23437930611502555, 'b7_winter': 1.3815783887213888, 'ERD_choice': 1}"
4,"{'B_PSH': 1493496.8889019778, 'N_pv1_sub': 906.5805113289505, 'a0_spring': 37.58698931118043, 'a1_spring': 0.09487726049005178, 'a7_spring': -1.028446232066642, 'b1_spring': -0.6740358495246778, 'b7_spring': -0.41933062376011604, 'a0_summer': 37.23001544030266, 'a1_summer': -1.3369916639288904, 'a7_summer': -0.9456863100103574, 'b1_summer': -0.09708799523513512, 'b7_summer': 0.28207144627022496, 'a0_fall': 37.34808913045056, 'a1_fall': 1.2325388311699264, 'a7_fall': 0.24656495197871878, 'b1_fall': -0.15563314502226155, 'b7_fall': 0.925896893043958, 'a0_winter': 37.50673259495141, 'a1_winter': -0.013991929948757857, 'a7_winter': -0.24882694768986244, 'b1_winter': -0.8011461121802039, 'b7_winter': 1.4911566121216528, 'ERD_choice': 1}"
5,"{'B_PSH': 1495025.9905413096, 'N_pv1_sub': 913.990310375861, 'a0_spring': 37.443313250628606, 'a1_spring': -0.38335012108698674, 'a7_spring': -0.8592325867713844, 'b1_spring': -0.5658015585539116, 'b7_spring': -0.43230117430123055, 'a0_summer': 37.230599510528435, 'a1_summer': -1.1973335803507401, 'a7_summer': -1.212733805732098, 'b1_summer': -0.8372861774714118, 'b7_summer': 0.8380826630646191, 'a0_fall': 37.411267418788256, 'a1_fall': -0.2618871630856936, 'a7_fall': 0.5181427415968451, 'b1_fall': -0.9488834117873672, 'b7_fall': 0.9406071746176029, 'a0_winter': 37.27056227993524, 'a1_winter': 0.10196355237634913, 'a7_winter': 1.1569352844784324, 'b1_winter': -1.0439580322879543, 'b7_winter': 1.4543707519512636, 'ERD_choice': 1}"
6,"{'B_PSH': 1494062.1252010593, 'N_pv1_sub': 909.6622040783948, 'a0_spring': 37.54983689258283, 'a1_spring': 0.0948239708882195, 'a7_spring': -0.8596855814247046, 'b1_spring': -0.6806203778435129, 'b7_spring': -0.4213440342117241, 'a0_summer': 37.22949480223144, 'a1_summer': -1.2952325134538587, 'a7_summer': -1.1685310668429911, 'b1_summer': -0.5135216873557135, 'b7_summer': 0.24156549330604363, 'a0_fall': 37.40306251687848, 'a1_fall': 1.229254403117277, 'a7_fall': -0.9033342562001729, 'b1_fall': -0.17528175777946858, 'b7_fall': -0.7139714047699504, 'a0_winter': 37.53155974343357, 'a1_winter': 1.0309636285560893, 'a7_winter': -0.5937144620573451, 'b1_winter': -0.8010077792640048, 'b7_winter': -0.6474293862519549, 'ERD_choice': 1}"
7,"{'B_PSH': 1493496.8889019778, 'N_pv1_sub': 910.0285387639233, 'a0_spring': 37.58698931118043, 'a1_spring': 0.09487726049005178, 'a7_spring': -1.0270688476986591, 'b1_spring': -0.6740358495246778, 'b7_spring': -0.41933062376011604, 'a0_summer': 37.23001544030266, 'a1_summer': -1.3369916639288904, 'a7_summer': -0.9456863100103574, 'b1_summer': -0.09708799523513512, 'b7_summer': 0.424633270975675, 'a0_fall': 37.43607574957931, 'a1_fall': 1.2325388311699264, 'a7_fall': 0.22608172620549716, 'b1_fall': -0.17645688047799696, 'b7_fall': 0.692659374501307, 'a0_winter': 37.50673259495141, 'a1_winter': -0.013991929948757857, 'a7_winter': -0.24882694768986244, 'b1_winter': -0.8011461121802039, 'b7_winter': 1.4911566121216528, 'ERD_choice': 1}"
8,"{'B_PSH': 1494048.8342959392, 'N_pv1_sub': 910.8628042401625, 'a0_spring': 37.49182311154901, 'a1_spring': 0.15246040967656127, 'a7_spring': -0.8628915952333204, 'b1_spring': -0.9575078022724007, 'b7_spring': -0.6068872409602253, 'a0_summer': 37.24252938507103, 'a1_summer': -1.1823492363944719, 'a7_summer': -0.925650843867666, 'b1_summer': -0.4937137864638057, 'b7_summer': 0.47037195055126285, 'a0_fall': 37.4006327271534, 'a1_fall': 1.43291015242595, 'a7_fall': 0.2674258403772278, 'b1_fall': -0.6874572512882272, 'b7_fall': 0.8726418244864633, 'a0_winter': 37.20041774141759, 'a1_winter': 0.1972212750314799, 'a7_winter': -0.22128230198574828, 'b1_winter': -0.7968641919881827, 'b7_winter': 1.453237220866856, 'ERD_choice': 1}"
9,"{'B_PSH': 1493661.1880592997, 'N_pv1_sub': 906.5805113289505, 'a0_spring': 37.58590679030923, 'a1_spring': 0.09487726049005178, 'a7_spring': -1.218856869084122, 'b1_spring': -0.6740358495246778, 'b7_spring': -0.7300798031826792, 'a0_summer': 37.23001544030266, 'a1_summer': -1.3369916639288904, 'a7_summer': -0.9456863100103574, 'b1_summer': -0.09708799523513512, 'b7_summer': 0.2718777297740969, 'a0_fall': 37.435291533671894, 'a1_fall': 1.1371611176895926, 'a7_fall': 0.4047017251654413, 'b1_fall': -0.2044060673904838, 'b7_fall': 0.925896893043958, 'a0_winter': 37.21159842505712, 'a1_winter': -0.0025233145477554066, 'a7_winter': -0.2250008157838201, 'b1_winter': -0.8011461121802039, 'b7_winter': 1.451871268247832, 'ERD_choice': 1}"
10,"{'B_PSH': 1492723.357494601, 'N_pv1_sub': 910.0285387639233, 'a0_spring': 37.58698931118043, 'a1_spring': 0.026452493478931666, 'a7_spring': -1.0270688476986591, 'b1_spring': -0.6740358495246778, 'b7_spring': -1.0500359334629112, 'a0_summer': 37.23001544030266, 'a1_summer': -1.3369916639288904, 'a7_summer': -0.9455460324747118, 'b1_summer': -0.09708799523513512, 'b7_summer': 0.42524188886929537, 'a0_fall': 37.43607574957931, 'a1_fall': 1.1484664427099742, 'a7_fall': 0.22608172620549716, 'b1_fall': 0.2681657732697177, 'b7_fall': 0.692659374501307, 'a0_winter': 37.21267068234035, 'a1_winter': -0.30681580172072487, 'a7_winter': -0.24882694768986244, 'b1_winter': -0.8209778379391415, 'b7_winter': 1.4911566121216528, 'ERD_choice': 1}"
11,"{'B_PSH': 1490891.7550409453, 'N_pv1_sub': 863.6392416272196, 'a0_spring': 37.52900594271743, 'a1_spring': -0.2379397340350594, 'a7_spring': -0.8478718359261651, 'b1_spring': -0.690756109413605, 'b7_spring': -1.116737448533688, 'a0_summer': 37.337825616172616, 'a1_summer': -1.0860748308132295, 'a7_summer': 0.050494471365156446, 'b1_summer': -0.8329280963813603, 'b7_summer': 0.49228053814633815, 'a0_fall': 37.40646697011797, 'a1_fall': 0.9642799518326689, 'a7_fall': -0.8885321027678655, 'b1_fall': 0.12780524550745304, 'b7_fall': 0.6662268880741625, 'a0_winter': 37.26973034558186, 'a1_winter': 0.9469630341324902, 'a7_winter': 1.1681624117856744, 'b1_winter': -1.0491053365747391, 'b7_winter': 1.412886660328567, 'ERD_choice': 1}"
12,"{'B_PSH': 1493466.8661365588, 'N_pv1_sub': 907.2647156654778, 'a0_spring': 37.58502749712105, 'a1_spring': 0.09482682690389992, 'a7_spring': -1.225812992752396, 'b1_spring': -0.6870503514595432, 'b7_spring': -0.41933062376011604, 'a0_summer': 37.228991049773356, 'a1_summer': -1.306790528025996, 'a7_summer': -0.938285344633203, 'b1_summer': -0.5968197516383502, 'b7_summer': 0.437962299557146, 'a0_fall': 37.43607574957931, 'a1_fall': 1.2325275813727081, 'a7_fall': -0.9464252659166906, 'b1_fall': -0.04095766228543157, 'b7_fall': 0.6745151783313708, 'a0_winter': 37.26822410607391, 'a1_winter': -0.014036746899350156, 'a7_winter': -0.22504772890773647, 'b1_winter': -0.8011429186456772, 'b7_winter': -0.7443812804486472, 'ERD_choice': 1}"
13,"{'B_PSH': 1491941.2864778314, 'N_pv1_sub': 912.6240230928994, 'a0_spring': 37.54983689258283, 'a1_spring': 0.02004841780760347, 'a7_spring': -0.8596855814247046, 'b1_spring': -0.9505382270307945, 'b7_spring': -0.4213440342117241, 'a0_summer': 37.22949480223144, 'a1_summer': -1.3013367270658647, 'a7_summer': -1.1685310668429911, 'b1_summer': -1.0896626152552762, 'b7_summer': 0.24655784615761378, 'a0_fall': 37.406199436601234, 'a1_fall': 1.2049564073436512, 'a7_fall': -0.969925275260136, 'b1_fall': 0.2164889828562328, 'b7_fall': -0.7200658213587612, 'a0_winter': 37.537385158851826, 'a1_winter': 1.0309636285560893, 'a7_winter': -0.45078920455721194, 'b1_winter': -0.8010077792640048, 'b7_winter': -0.6474293862519549, 'ERD_choice': 1}"
14,"{'B_PSH': 1494062.1252010593, 'N_pv1_sub': 909.4598505170851, 'a0_spring': 37.54992408928789, 'a1_spring': 0.08891557787475414, 'a7_spring': -0.8501872594371561, 'b1_spring': -0.6806203778435129, 'b7_spring': -1.0620747098974705, 'a0_summer': 37.22859221568935, 'a1_summer': -1.4338931765038798, 'a7_summer': -0.6784626835367151, 'b1_summer': -0.5212835739519515, 'b7_summer': 0.26066050476012537, 'a0_fall': 37.40478277381482, 'a1_fall': 1.2304746017978763, 'a7_fall': -0.8739644800397188, 'b1_fall': -0.22021929485929148, 'b7_fall': -0.605784169473762, 'a0_winter': 37.20311422591207, 'a1_winter': -0.2868872874919124, 'a7_winter': -0.515891527546119, 'b1_winter': -0.818572434373522, 'b7_winter': 1.4826269960616616, 'ERD_choice': 1}"
15,"{'B_PSH': 1471170.678727784, 'N_pv1_sub': 889.3483063201884, 'a0_spring': 37.49221405603939, 'a1_spring': 0.024642178339528868, 'a7_spring': -1.017368599805561, 'b1_spring': -0.9880641209866713, 'b7_spring': -1.05227513367943, 'a0_summer': 37.228167920051014, 'a1_summer': -1.3815840259758794, 'a7_summer': -0.9240605160386711, 'b1_summer': -0.436092772418981, 'b7_summer': 0.4892835831809479, 'a0_fall': 37.40635675428943, 'a1_fall': 0.966439281536264, 'a7_fall': -0.8737008224101984, 'b1_fall': 0.24835821440152078, 'b7_fall': 0.393813349871421, 'a0_winter': 37.2674421696887, 'a1_winter': -0.28888897802905206, 'a7_winter': -0.4533317834988256, 'b1_winter': -0.5855107041804657, 'b7_winter': 1.376617847920316, 'ERD_choice': 1}"
16,"{'B_PSH': 1492125.2301536012, 'N_pv1_sub': 910.0285387639233, 'a0_spring': 37.58047791282587, 'a1_spring': 0.030096542169450954, 'a7_spring': -1.0270688476986591, 'b1_spring': -0.6691981355487474, 'b7_spring': -0.41933062376011604, 'a0_summer': 37.23001544030266, 'a1_summer': -1.3369916639288904, 'a7_summer': -0.9231553268638748, 'b1_summer': -1.3163198166950734, 'b7_summer': 0.4240761435962402, 'a0_fall': 37.436100115217606, 'a1_fall': 1.2384252806485578, 'a7_fall': 0.22608172620549716, 'b1_fall': -0.17667510356818475, 'b7_fall': 0.692659374501307, 'a0_winter': 37.50673259495141, 'a1_winter': -0.013991929948757857, 'a7_winter': -0.4459290013876048, 'b1_winter': -0.8011461121802039, 'b7_winter': 1.4911566121216528, 'ERD_choice': 1}"
17,"{'B_PSH': 1494062.1252010593, 'N_pv1_sub': 909.4598505170851, 'a0_spring': 37.54992408928789, 'a1_spring': 0.09916963388052334, 'a7_spring': -0.8501872594371561, 'b1_spring': -0.6806203778435129, 'b7_spring': -1.1139036648903218, 'a0_summer': 37.253196925751, 'a1_summer': -1.334088679417449, 'a7_summer': -0.6741917539758364, 'b1_summer': -0.5212835739519515, 'b7_summer': 0.2606148277735807, 'a0_fall': 37.40478277381482, 'a1_fall': 1.2304746017978763, 'a7_fall': -0.8738854923212886, 'b1_fall': -0.22021929485929148, 'b7_fall': -0.605784169473762, 'a0_winter': 37.20311422591207, 'a1_winter': 0.012323929987399618, 'a7_winter': -0.21212603469431576, 'b1_winter': -0.7984357889685516, 'b7_winter': 1.6047228721405307, 'ERD_choice': 1}"
18,"{'B_PSH': 1494048.8342959392, 'N_pv1_sub': 910.8628042401625, 'a0_spring': 37.49182311154901, 'a1_spring': 0.15246040967656127, 'a7_spring': -0.8628915952333204, 'b1_spring': -0.9575078022724007, 'b7_spring': -0.6068872409602253, 'a0_summer': 37.24252938507103, 'a1_summer': -1.1823492363944719, 'a7_summer': -0.925650843867666, 'b1_summer': -0.4937137864638057, 'b7_summer': 0.47037195055126285, 'a0_fall': 37.30113456999818, 'a1_fall': 1.43291015242595, 'a7_fall': 0.2674258403772278, 'b1_fall': -0.6874572512882272, 'b7_fall': 0.8103232241007325, 'a0_winter': 37.20041774141759, 'a1_winter': 0.1972212750314799, 'a7_winter': -0.22128230198574828, 'b1_winter': -0.7968641919881827, 'b7_winter': 1.453237220866856, 'ERD_choice': 1}"
19,"{'B_PSH': 1495025.9905413096, 'N_pv1_sub': 911.6267759246264, 'a0_spring': 37.438888604681246, 'a1_spring': -0.39135624928635426, 'a7_spring': -0.8592325867713844, 'b1_spring': -0.5658015585539116, 'b7_spring': -0.532203844688564, 'a0_summer': 37.230599510528435, 'a1_summer': -1.1973335803507401, 'a7_summer': -1.212733805732098, 'b1_summer': -0.8328138568237887, 'b7_summer': 0.47732190324166873, 'a0_fall': 37.411267418788256, 'a1_fall': -0.1898834675855386, 'a7_fall': 0.5323818223716108, 'b1_fall': -0.7424209000152859, 'b7_fall': 0.9406071746176029, 'a0_winter': 37.27057124229045, 'a1_winter': 0.10022675598669928, 'a7_winter': 1.156804450944194, 'b1_winter': -1.0439580322879543, 'b7_winter': 1.4543707519512636, 'ERD_choice': 1}"
