,0
0,-1089624083.1418042
1,-1081245961.7248838
2,-1081062279.2921739
3,-1077652584.4934366
4,-1073511474.415686
5,-1072897326.0757003
6,-1072759573.2188115
7,-1072152075.0053641
8,-1069840601.4673693
9,-1068704815.6833853
10,-1068390343.0660033
11,-1068351544.3198816
12,-1068047821.0795588
13,-1067923018.8363539
14,-1067366874.5232702
15,-1066509949.7551806
16,-1066438068.9567872
17,-1066135456.4801307
18,-1065791128.1408601
19,-1065407513.711618
20,-1065390688.2678716
21,-1065145889.9786364
22,-1064994552.9127762
23,-1064310832.0214791
24,-1063455560.167706
25,-1062733481.2408545
26,-1062138461.9149543
27,-1061991751.1732318
28,-1061849235.7634522
29,-1061512736.1213226
30,-1061273548.6197497
31,-1060987579.080846
32,-1060964230.7601656
33,-1060943997.9891557
34,-1060811038.1470523
35,-1060769795.4789407
36,-1060354173.3735399
37,-1060212826.0480304
38,-1060194000.2205738
39,-1060103773.6076518
40,-1060010656.9438874
41,-1059911867.4550068
42,-1059844933.7920843
43,-1059816717.4817511
44,-1059733336.8812562
45,-1059715584.1283443
46,-1059615174.1422238
47,-1059530930.3926764
48,-1059116291.1949416
49,-1059109462.1125381
50,-1058700390.6338918
51,-1058690293.5635514
52,-1058466470.3375494
53,-1058124172.3697424
54,-1058046220.2354262
55,-1058033276.0056454
56,-1058008046.633343
57,-1057979403.3543301
58,-1057964030.2751516
59,-1057757778.1966689
60,-1057726181.9559542
61,-1057673060.6168456
62,-1057564435.1976621
63,-1057483897.4336557
64,-1057381519.5542513
65,-1057209262.7349381
66,-1057016478.2652512
67,-1056991958.0622592
68,-1056776977.8167039
69,-1056762068.4122471
70,-1056634457.6361586
71,-1056570494.5499855
72,-1056471573.0663899
73,-1056455575.3520294
74,-1056346383.1016475
75,-1056036681.8305084
76,-1055958031.5118101
77,-1055911560.8041054
78,-1055795793.6838036
79,-1055525757.0433441
80,-1055348066.773289
81,-1055246671.2482177
82,-1055205141.4245517
83,-1055124923.7952908
84,-1055112269.6886766
85,-1054960266.9313955
86,-1054891587.3217933
87,-1054861981.3277246
88,-1054850101.3908477
89,-1054610990.3974967
90,-1054352613.6711375
91,-1054349729.6470054
92,-1054137126.1899148
93,-1053703391.8504144
94,-1053671900.8121259
95,-1053647648.2698711
96,-1053396239.6886538
97,-1053229177.497275
98,-1053224688.5579466
99,-1053201864.3757046
