,Q_f_i [m^3/hr],TDS_f_i [mg/L],Q_c_i [m^3/hr],Q_p_i [m^3/hr],TDS_p_i [mg/L],TDS_c_i [mg/L],P_f_i [psi],P_c_i [psi],c_f_i [ppm],c_c_i [ppm],c_p_i [ppm],rr_i [-],c_fc_i [ppm],pf_i [-],TDS_m_i [mg/L],pi_m_i [psi],pi_p_i [psi],A [m/(s*Pa)],B [m/s],R [-]
0,3.5,37889,3.42,0.1,10833,38512,334.6959,329.4959,37037.14276,37629.65892,10798.76397,0.023771097,37337.47855,1.00336569,38298.05489,437.6725829,123.8002062,5.59E-12,3.92E-08,0.708434205
1,4,37889,3.92,0.1,10830.6,38431,334.6959,328.3959,37037.14276,37552.65086,10796.38937,0.019840639,37299.22918,1.002803924,38242.04469,437.0324949,123.7727788,5.49E-12,3.92E-08,0.708498319
2,4.5,37889,4.42,0.09,10790.66667,38368,334.6959,327.2959,37037.14276,37492.7498,10756.90735,0.017871459,37269.0714,1.002570018,38182.76547,436.3550482,123.3164182,5.27E-12,3.69E-08,0.709564331
3,4,35789,3.87,0.13,7142.615385,36722,354.6959,348.4959,35036.16594,35925.88357,7139.659762,0.031593602,35493.6403,1.004533383,36360.32235,415.5280534,81.62625839,8.18E-12,3.64E-08,0.796220289
4,4.5,35789,4.37,0.13,6991.153846,36642,354.6959,347.2959,35036.16594,35849.63953,6989.085746,0.029642154,35452.28004,1.004208832,36311.03912,414.9648416,79.89534639,2.24E-11,3.57E-08,0.800517963
5,4.99,35789,4.87,0.13,7099.769231,36535,354.6959,346.0959,35036.16594,35747.65002,7097.078237,0.025731396,35401.78468,1.003668294,36246.37197,414.2258213,81.13660985,9.41E-12,3.63E-08,0.797435648
6,5.49,35789,5.37,0.13,7130.846154,36459,354.6959,344.8959,35036.16594,35675.19977,7127.951547,0.022789963,35367.11914,1.003290068,36201.97019,413.718395,81.49175888,8.09E-12,3.65E-08,0.796554464
7,5.99,35789,5.87,0.12,7139.916667,36399,354.6959,343.5959,35036.16594,35617.99686,7136.950734,0.020824734,35338.52035,1.002979476,36162.60567,413.2685347,81.59541727,7.41E-12,3.39E-08,0.79629761
8,6.49,35789,6.37,0.12,7161.416667,36348,354.6959,342.1959,35036.16594,35569.37067,7158.314854,0.019840639,35313.97405,1.002803924,36133.96801,412.9412618,81.84112063,7.48E-12,3.40E-08,0.795687837
9,4,35791,3.83,0.17,5729.058824,37101,374.6959,368.4959,35038.07438,36286.97594,5732.69118,0.042268293,35687.78903,1.006112892,36618.00206,418.4728334,65.472045,8.33E-12,3.73E-08,0.836386808
10,4.49,35791,4.33,0.17,5690.058824,36958,374.6959,367.3959,35038.07438,36150.75471,5693.841994,0.038397695,35617.98056,1.005533039,36530.86929,417.4770746,65.02635054,8.28E-12,3.71E-08,0.837495579
11,4.99,35791,4.83,0.17,5668,36840,374.6959,366.1959,35038.07438,36038.32825,5671.865236,0.033542106,35560.46278,1.004829412,36452.28192,416.5789732,64.77426092,8.06E-12,3.71E-08,0.838122804
12,5.49,35791,5.33,0.17,5658.764706,36742,374.6959,364.8959,35038.07438,35944.94327,5662.661293,0.031593602,35512.69372,1.004539746,36396.06195,415.9364878,64.66871939,8.21E-12,3.71E-08,0.838385488
13,5.99,35791,5.83,0.17,5660,36659,374.6959,363.5959,35038.07438,35865.84209,5663.886444,0.027688741,35472.53574,1.003960821,36338.66333,415.2805328,64.68283641,8.06E-12,3.71E-08,0.838350522
14,6.49,35791,6.33,0.17,5669.764706,36587,374.6959,362.2959,35038.07438,35797.21689,5673.60775,0.026710561,35437.53768,1.003836815,36300.24683,414.8415066,64.79442809,8.21E-12,3.72E-08,0.838073072
15,6.99,35791,6.83,0.17,5686.411765,36525,374.6959,360.8959,35038.07438,35738.11753,5690.18331,0.024752232,35407.43955,1.003547554,36261.70755,414.4010773,64.98467172,8.24E-12,3.74E-08,0.837599999
16,7.49,35791,7.33,0.17,5709.117647,36470,374.6959,359.4959,35038.07438,35685.68646,5712.792501,0.021807842,35380.99625,1.003134375,36223.00705,413.9588055,65.24415598,8.19E-12,3.75E-08,0.836954724
17,7.99,35791,7.83,0.17,5737,36422,374.6959,357.9959,35038.07438,35639.9252,5740.555175,0.020824734,35357.87755,1.002969149,36195.09937,413.6398749,65.56279726,8.26E-12,3.77E-08,0.836162367
18,8.49,35791,8.33,0.17,5769.823529,36378,374.6959,356.4959,35038.07438,35597.97473,5773.237197,0.019841627,35336.83177,1.002845317,36170.62642,413.3601964,65.93790662,8.39E-12,3.80E-08,0.83522961
19,4,36842,3.85,0.15,6712,37966,374.6959,368.4959,36040.23393,37110.40244,6711.349139,0.036457024,36592.52057,1.005193499,37584.75028,429.5208929,76.70515866,7.31E-12,3.72E-08,0.813781754
20,4.49,36842,4.35,0.15,6618.2,37853,374.6959,367.3959,36040.23393,37002.88883,6618.070817,0.032567854,36534.13134,1.004630748,37505.49301,428.6151359,75.63320635,9.89E-12,3.67E-08,0.816369926
21,4.99,36842,4.85,0.15,6670.6,37738,374.6959,366.1959,36040.23393,36893.45523,6670.165391,0.028665938,36482.16112,1.004068292,37432.68074,427.7830327,76.23203685,7.15E-12,3.71E-08,0.81492447
22,5.49,36842,5.35,0.15,6670.2,37653,374.6959,364.8959,36040.23393,36812.55846,6669.763526,0.026710561,36441.27712,1.003787212,37380.63483,427.1882487,76.22746563,7.22E-12,3.72E-08,0.814935621
23,5.99,36842,5.85,0.15,6679.8,37581,374.6959,363.5959,36040.23393,36744.02677,6679.307258,0.023771097,36406.68846,1.00336569,37330.96714,426.6206433,76.33717503,7.14E-12,3.73E-08,0.814670813
24,6.49,36842,6.35,0.15,6697.8,37519,374.6959,362.1959,36040.23393,36685.00794,6697.20547,0.021807842,36376.99267,1.003084807,37290.86906,426.1623998,76.54288016,7.17E-12,3.74E-08,0.814174195
25,6.99,36842,6.85,0.15,6722.6,37466,374.6959,360.7959,36040.23393,36634.5524,6721.865172,0.020824734,36351.5374,1.002944365,37259.51134,425.8040419,76.82629613,7.31E-12,3.76E-08,0.813489968
26,7.49,36842,7.35,0.14,6701.428571,37419,374.6959,359.3959,36040.23393,36589.80573,6700.802062,0.018856543,36329.09935,1.002703678,37212.5382,425.2672298,76.58434771,6.94E-12,3.55E-08,0.814074402
27,4.99,37893,4.87,0.12,7551.333333,38675,374.6959,366.0959,37040.94864,37784.59995,7545.90524,0.025731396,37422.74794,1.003681807,38369.92433,438.4939114,86.29711285,6.50E-12,3.39E-08,0.796282074
28,5.49,37893,5.37,0.12,7584.75,38596,374.6959,364.8959,37040.94864,37709.51014,7579.077822,0.022789963,37386.41397,1.003272063,38322.44003,437.9512578,86.67900062,5.76E-12,3.40E-08,0.795386509
29,5.99,37893,5.87,0.12,7598.166667,38533,374.6959,363.5959,37040.94864,37649.62259,7592.399264,0.020824734,37356.26382,1.002979476,38284.59014,437.5187069,86.83232713,5.76E-12,3.41E-08,0.795026868
30,6.49,37893,6.37,0.12,7618.5,38480,374.6959,362.1959,37040.94864,37599.237,7612.589552,0.019840639,37330.65598,1.002803924,38254.61949,437.1762004,87.06469774,5.75E-12,3.42E-08,0.794481788
31,4,35793,3.77,0.23,4468.391304,37668,394.6959,388.5959,35039.98281,36826.83505,4475.339928,0.056674363,35988.49325,1.008313129,36981.53893,422.6273556,51.0650572,8.27E-12,3.89E-08,0.872279049
32,4.49,35793,4.27,0.23,4402.217391,37475,394.6959,387.4959,35039.98281,36643.12058,4409.302957,0.05093211,35891.42503,1.007423343,36857.66218,421.2116843,50.30881756,8.07E-12,3.85E-08,0.874163667
33,4.99,35793,4.76,0.24,4360,37315,394.6959,386.2959,35039.98281,36490.78159,4367.178682,0.046127195,35811.38771,1.006701789,36760.01421,420.0957572,49.82635455,8.25E-12,3.98E-08,0.875365844
34,5.49,35793,5.26,0.24,4328.916667,37179,394.6959,384.9959,35039.98281,36361.26717,4336.150709,0.042269266,35744.12395,1.006144048,36675.95322,419.1351029,49.47113226,8.25E-12,3.96E-08,0.876251346
35,5.99,35793,5.76,0.24,4310.125,37064,394.6959,383.6959,35039.98281,36251.73245,4317.389132,0.039367052,35686.82075,1.005703896,36605.4872,418.3298128,49.25637991,8.23E-12,3.95E-08,0.876786779
36,6.49,35793,6.26,0.24,4301.791667,36963,394.6959,382.3959,35039.98281,36155.51814,4309.065382,0.03645898,35636.98283,1.005293392,36543.44919,417.6208385,49.16114605,8.25E-12,3.95E-08,0.877024329
37,6.99,35793,6.76,0.24,4301.666667,36875,394.6959,380.9959,35039.98281,36071.67698,4308.934102,0.033542106,35593.71242,1.004853548,36486.7537,416.9729189,49.15971755,8.27E-12,3.95E-08,0.877028076
38,7.49,35793,7.26,0.24,4308.666667,36797,394.6959,379.5959,35039.98281,35997.35475,4315.912975,0.031595564,35555.56313,1.004589933,36441.0599,416.4507272,49.23971399,8.33E-12,3.96E-08,0.876828907
39,7.99,35793,7.76,0.24,4322.291667,36727,394.6959,378.0959,35039.98281,35930.64855,4329.504029,0.028666921,35521.3513,1.004150397,36393.49333,415.9071335,49.39542134,8.28E-12,3.98E-08,0.876441034
40,8.49,35793,8.26,0.23,4336.652174,36665,394.6959,376.5959,35039.98281,35871.56055,4343.814267,0.027689725,35490.70766,1.004025648,36357.12533,415.4915177,49.55953412,8.13E-12,3.84E-08,0.876032637
41,8.99,35793,8.76,0.23,4360.130435,36609,394.6959,374.9959,35039.98281,35818.18642,4367.235489,0.02573238,35463.64612,1.003720083,36321.05095,415.0792574,49.82784517,8.18E-12,3.86E-08,0.875364223
42,9.49,35793,9.26,0.23,4387.869565,36558,394.6959,373.3959,35039.98281,35769.57426,4394.906612,0.023772083,35438.55534,1.003445199,36287.90576,414.7004721,50.1448497,8.20E-12,3.89E-08,0.874574521
43,9.99,35793,9.76,0.23,4419.782609,36512,394.6959,371.7959,35039.98281,35725.72509,4426.739969,0.02279095,35416.20122,1.003323076,36262.28623,414.4076905,50.50955397,8.32E-12,3.91E-08,0.873666035
44,10.5,35793,10.3,0.22,4405,36469,394.6959,370.0959,35039.98281,35684.73313,4411.978803,0.020825722,35395.54892,1.003059339,36221.04939,413.9364333,50.34061739,8.05E-12,3.79E-08,0.874087301
45,11,35793,10.8,0.22,4441.5,36431,394.6959,368.3959,35039.98281,35648.50567,4448.386612,0.020825722,35376.76775,1.003059339,36203.53931,413.736327,50.75774168,8.24E-12,3.82E-08,0.873048265
46,4,36844,3.8,0.19,5329.789474,38421,394.6959,388.5959,36042.13961,37543.14309,5334.730063,0.048050325,36828.66336,1.006913397,37867.79713,432.7555702,60.90916973,7.29E-12,3.73E-08,0.85198631
47,4.49,36844,4.3,0.19,5275.157895,38253,394.6959,387.3959,36042.13961,37383.39329,5280.27822,0.043233748,36745.90798,1.006208805,37759.85336,431.521982,60.2848366,7.24E-12,3.71E-08,0.853497093
48,4.99,36844,4.8,0.2,5203.65,38114,394.6959,386.1959,36042.13961,37251.19159,5208.978221,0.038397695,36677.4494,1.005545464,37643.51005,430.1924033,59.46763988,7.50E-12,3.89E-08,0.855475333
49,5.49,36844,5.3,0.2,5183.45,37998,394.6959,384.9959,36042.13961,37140.84576,5188.838084,0.035486689,36620.26193,1.005123204,37573.56163,429.3930284,59.236793,7.53E-12,3.88E-08,0.856034127
50,5.99,36844,5.8,0.2,5174.8,37899,394.6959,383.6959,36042.13961,37046.65744,5180.210146,0.033542106,36571.95116,1.004841829,37516.97987,428.7464084,59.13794026,7.63E-12,3.88E-08,0.856273512
51,6.49,36844,6.3,0.2,5175.7,37813,394.6959,382.2959,36042.13961,36964.82692,5181.101672,0.029643136,36530.47275,1.004279225,37458.10475,428.0735799,59.14822552,7.53E-12,3.89E-08,0.856248776
52,6.99,36844,6.8,0.2,5184,37739,394.6959,380.8959,36042.13961,36894.40691,5189.368766,0.028666921,36494.06965,1.004138685,37417.8025,427.6130032,59.24307844,7.67E-12,3.89E-08,0.856019403
53,7.49,36844,7.3,0.19,5174,37673,394.6959,379.4959,36042.13961,36831.59384,5179.381865,0.02573238,36462.15041,1.003728115,37362.60854,426.9822432,59.12879781,7.27E-12,3.73E-08,0.856296493
54,7.99,36844,7.8,0.19,5194.157895,37615,394.6959,377.9959,36042.13961,36776.3898,5199.466923,0.023772083,36434.19822,1.003469303,37327.64441,426.5826709,59.3591635,7.33E-12,3.74E-08,0.855739227
55,8.49,36844,8.3,0.19,5219.631579,37563,394.6959,376.4959,36042.13961,36726.89279,5224.848921,0.021807842,36409.07865,1.003136549,37292.90467,426.185663,59.65027837,7.30E-12,3.76E-08,0.855034996
56,8.99,36844,8.8,0.19,5248.631579,37516,394.6959,374.8959,36042.13961,36682.15207,5253.742991,0.021807842,36386.46367,1.003136549,37271.33663,425.939182,59.98169219,7.50E-12,3.78E-08,0.854233321
57,9.49,36844,9.3,0.19,5282.052632,37474,394.6959,373.2959,36042.13961,36642.16856,5287.040815,0.019841627,36366.01483,1.002877918,37243.59255,425.6221209,60.36363009,7.50E-12,3.81E-08,0.853309463
58,4,37895,3.83,0.16,6204.8125,39241,394.6959,388.4959,37042.85158,38322.34834,6206.517477,0.041300887,37707.30363,1.005923787,38755.60382,442.9014809,70.90898797,6.34E-12,3.59E-08,0.832450332
59,4.49,37895,4.33,0.16,6163.125,39094,394.6959,387.3959,37042.85158,38182.7257,6165.021613,0.036457024,37635.43892,1.005219887,38659.73429,441.8058779,70.4325806,6.24E-12,3.57E-08,0.833570545
60,4.99,37895,4.83,0.16,6138.625,38973,394.6959,386.1959,37042.85158,38067.77721,6140.630681,0.032567854,37576.87426,1.004648328,38581.88421,440.9162023,70.15259305,6.19E-12,3.57E-08,0.834228996
61,5.49,37895,5.33,0.16,6127.75,38873,394.6959,384.8959,37042.85158,37972.76412,6129.800946,0.029643136,37527.92563,1.004252874,38519.54866,440.2038276,70.02831287,6.23E-12,3.57E-08,0.834521353
62,5.99,37895,5.83,0.16,6128,38787,394.6959,383.5959,37042.85158,37891.0425,6130.04474,0.027688741,37486.84596,1.00394532,38468.00858,439.6148244,70.03116988,6.23E-12,3.57E-08,0.834514772
63,6.49,37895,6.33,0.16,6136.8125,38714,394.6959,382.2959,37042.85158,37821.66661,6138.810654,0.025731396,37451.55399,1.003681807,38423.68975,439.108346,70.13187969,6.28E-12,3.58E-08,0.834278129
64,6.99,37895,6.83,0.16,6153.3125,38650,394.6959,380.8959,37042.85158,37760.83823,6155.227816,0.022789963,37420.77834,1.003242804,38378.47513,438.5916305,70.32044273,6.24E-12,3.59E-08,0.833834936
65,7.49,37895,7.33,0.16,6176.0625,38594,394.6959,379.3959,37042.85158,37707.60903,6177.864065,0.021807842,37393.9508,1.00311114,38347.10529,438.233134,70.58043116,6.34E-12,3.61E-08,0.833223853
66,7.99,37895,7.83,0.16,6203.8125,38545,394.6959,377.8959,37042.85158,37661.03014,6205.475185,0.020824734,37370.22905,1.002979476,38318.86489,437.9104009,70.89755991,6.41E-12,3.62E-08,0.83247847
