,Q_f_HPP [m^3/hr],P_f_RO [bar],RO_rr [%],q_f [m^3/hr],P_c [bar],S_c [mg/L],num_turbos [-],turbo_model [-],suction_pressure [bar],exhaust_pressure [bar],bypass_flowrate [m^3/hr],turbo_efficiency [%],valve_position [-],P_hpp_outlet [bar],hpp_efficiency [%,motor_efficiency [%],vfd_efficiency [%],sec_system [kWh/m^3],warning [-]
0,1061.8,47.46,23.6,4.117546057,46.75,49321,1,AT 7800,1.01,1.4,0,75.6,Closed,21.26,85.3,95.3,97,3.02,0
1,366.4,66.28,53.6,6.712796839,64.99,72998,1,AT 1500,1.01,1.4,0,65.9,Closed,46.84,79.4,94.1,97,3.27,0
2,1736.9,32.24,29.9,8.515380656,29.43,53108,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1830.3,39.39,32.9,12.0968585,33.92,55073,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2223.3,34.66,39.7,12.53474632,29.27,60034,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1043.7,34.29,29,4.789404371,33.39,52534,1,AT 7800,1.01,1.4,0,75.9,Closed,17.05,85.2,95.3,97,1.95,0
6,1306.5,52.2,27.2,4.779757063,51.28,51489,1,AT 7800,1.01,1.4,0,77.1,Closed,24.2,86.3,95.6,97,2.96,0
7,373,59.17,20.8,7.967042852,56.44,47834,0,0,0,0,0,0,0,0,0,0,0,0,1
8,218.4,67.29,28.5,9.786618101,63.53,52300,1,AT 1500,1.01,1.4,0,68.7,Closed,36.77,77.2,93.6,97,4.97,0
9,579,30.88,40.7,4.231380934,30.27,60801,1,LPT 2000,1.01,1.4,0,88.1,Closed,15.79,81.4,94.7,97,1.35,0
10,2062.7,30.25,24,4.497996033,29.42,49565,0,0,0,0,0,0,0,0,0,0,0,0,1
11,890.6,43.06,23.1,8.433717317,40.08,49035,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1417.6,44.19,23.2,6.629422452,42.36,49127,0,0,0,0,0,0,0,0,0,0,0,0,1
13,769.2,36.94,30.6,11.03626049,32.27,53592,1,AT 6000,1.01,1.4,0,74.5,Closed,20.98,82.6,95,97,2.38,0
14,1822.8,28.99,56.2,13.83350607,23.7,75934,0,0,0,0,0,0,0,0,0,0,0,0,1
15,503.7,51.31,26.5,5.625517247,50.04,51074,1,AT 3250,1.01,1.4,0,72.9,Closed,25.25,80.8,94.5,97,3.43,0
16,1798.9,31.5,31.4,7.119029198,29.57,54049,0,0,0,0,0,0,0,0,0,0,0,0,1
17,564.9,51.37,42.5,3.511962779,50.96,62309,1,AT 3250,1.01,1.4,0,73,Closed,30.55,81.3,94.6,97,2.59,0
18,1674.2,60.33,39.7,10.14656659,56.79,60079,1,AT 7800,1.01,1.6,0,78.7,Closed,34.15,87.4,95.9,97,2.85,0
19,454.7,44.63,21.1,6.13812211,43.02,47946,0,0,0,0,0,0,0,0,0,0,0,0,1
20,307.9,50.92,36.3,9.899099091,47.41,57487,1,AT 1500,1.01,1.9,0,70,Closed,30.64,78.7,93.9,97,3.16,0
21,185.8,41.05,34.3,14.26833211,33.57,56023,1,AT 1500,1.01,1.4,0,68.3,Closed,26.61,76.5,93.4,97,2.99,0
22,1892.9,67.61,23.1,4.440998691,66.79,49128,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1479.9,42.88,49.8,3.702835236,42.46,69014,1,AT 7800,1.01,1.4,0,75.2,Closed,27.38,86.8,95.7,97,1.82,0
24,484.7,30.61,40.5,5.361082442,29.63,60656,1,LPT 2000,1.01,1.4,0,76.8,Closed,17.71,80.6,94.5,97,1.55,0
