,0,1
0,355.9,4.1
1,359.6,4.1
2,359.6,4.22
3,359.6,4.34
4,363.3,4.1
5,363.3,4.22
6,363.3,4.34
7,363.3,4.46
8,363.3,4.58
9,363.3,4.7
10,367,4.1
11,367,4.22
12,367,4.34
13,367,4.46
14,367,4.58
15,367,4.7
16,367,4.82
17,367,4.94
18,370.7,4.1
19,370.7,4.22
20,370.7,4.34
21,370.7,4.46
22,370.7,4.58
23,370.7,4.7
24,370.7,4.82
25,370.7,4.94
26,370.7,5.06
27,370.7,5.18
28,374.4,4.1
29,374.4,4.22
30,374.4,4.34
31,374.4,4.46
32,374.4,4.58
33,374.4,4.7
34,374.4,4.82
35,374.4,4.94
36,374.4,5.06
37,374.4,5.18
38,374.4,5.3
39,374.4,5.42
40,374.4,5.54
41,378.1,4.1
42,378.1,4.22
43,378.1,4.34
44,378.1,4.46
45,378.1,4.58
46,378.1,4.7
47,378.1,4.82
48,378.1,4.94
49,378.1,5.06
50,378.1,5.18
51,378.1,5.3
52,378.1,5.42
53,378.1,5.54
54,378.1,5.66
55,378.1,5.78
56,381.8,4.1
57,381.8,4.22
58,381.8,4.34
59,381.8,4.46
60,381.8,4.58
61,381.8,4.7
62,381.8,4.82
63,381.8,4.94
64,381.8,5.06
65,381.8,5.18
66,381.8,5.3
67,381.8,5.42
68,381.8,5.54
69,381.8,5.66
70,381.8,5.78
71,381.8,5.9
72,381.8,6.02
73,385.5,4.1
74,385.5,4.22
75,385.5,4.34
76,385.5,4.46
77,385.5,4.58
78,385.5,4.7
79,385.5,4.82
80,385.5,4.94
81,385.5,5.06
82,385.5,5.18
83,385.5,5.3
84,385.5,5.42
85,385.5,5.54
86,385.5,5.66
87,385.5,5.78
88,385.5,5.9
89,385.5,6.02
90,385.5,6.14
91,385.5,6.26
92,385.5,6.38
93,389.2,4.1
94,389.2,4.22
95,389.2,4.34
96,389.2,4.46
97,389.2,4.58
98,389.2,4.7
99,389.2,4.82
100,389.2,4.94
101,389.2,5.06
102,389.2,5.18
103,389.2,5.3
104,389.2,5.42
105,389.2,5.54
106,389.2,5.66
107,389.2,5.78
108,389.2,5.9
109,389.2,6.02
110,389.2,6.14
111,389.2,6.26
112,389.2,6.38
113,389.2,6.5
114,389.2,6.62
115,392.9,4.1
116,392.9,4.22
117,392.9,4.34
118,392.9,4.46
119,392.9,4.58
120,392.9,4.7
121,392.9,4.82
122,392.9,4.94
123,392.9,5.06
124,392.9,5.18
125,392.9,5.3
126,392.9,5.42
127,392.9,5.54
128,392.9,5.66
129,392.9,5.78
130,392.9,5.9
131,392.9,6.02
132,392.9,6.14
133,392.9,6.26
134,392.9,6.38
135,392.9,6.5
136,392.9,6.62
137,392.9,6.74
138,396.6,4.1
139,396.6,4.22
140,396.6,4.34
141,396.6,4.46
142,396.6,4.58
143,396.6,4.7
144,396.6,4.82
145,396.6,4.94
146,396.6,5.06
147,396.6,5.18
148,396.6,5.3
149,396.6,5.42
150,396.6,5.54
151,396.6,5.66
152,396.6,5.78
153,396.6,5.9
154,396.6,6.02
155,396.6,6.14
156,396.6,6.26
157,396.6,6.38
158,396.6,6.5
159,396.6,6.62
160,396.6,6.74
161,396.6,6.86
162,396.6,6.98
163,400.3,4.1
164,400.3,4.22
165,400.3,4.34
166,400.3,4.46
167,400.3,4.58
168,400.3,4.7
169,400.3,4.82
170,400.3,4.94
171,400.3,5.06
172,400.3,5.18
173,400.3,5.3
174,400.3,5.42
175,400.3,5.54
176,400.3,5.66
177,400.3,5.78
178,400.3,5.9
179,400.3,6.02
180,400.3,6.14
181,400.3,6.26
182,400.3,6.38
183,400.3,6.5
184,400.3,6.62
185,400.3,6.74
186,400.3,6.86
187,400.3,6.98
188,400.3,7.1
189,400.3,7.22
190,404,4.1
191,404,4.22
192,404,4.34
193,404,4.46
194,404,4.58
195,404,4.7
196,404,4.82
197,404,4.94
198,404,5.06
199,404,5.18
200,404,5.3
201,404,5.42
202,404,5.54
203,404,5.66
204,404,5.78
205,404,5.9
206,404,6.02
207,404,6.14
208,404,6.26
209,404,6.38
210,404,6.5
211,404,6.62
212,404,6.74
213,404,6.86
214,404,6.98
215,404,7.1
216,404,7.22
217,404,7.34
218,407.7,4.1
219,407.7,4.22
220,407.7,4.34
221,407.7,4.46
222,407.7,4.58
223,407.7,4.7
224,407.7,4.82
225,407.7,4.94
226,407.7,5.06
227,407.7,5.18
228,407.7,5.3
229,407.7,5.42
230,407.7,5.54
231,407.7,5.66
232,407.7,5.78
233,407.7,5.9
234,407.7,6.02
235,407.7,6.14
236,407.7,6.26
237,407.7,6.38
238,407.7,6.5
239,407.7,6.62
240,407.7,6.74
241,407.7,6.86
242,407.7,6.98
243,407.7,7.1
244,407.7,7.22
245,407.7,7.34
246,407.7,7.46
247,407.7,7.58
248,411.4,4.1
249,411.4,4.22
250,411.4,4.34
251,411.4,4.46
252,411.4,4.58
253,411.4,4.7
254,411.4,4.82
255,411.4,4.94
256,411.4,5.06
257,411.4,5.18
258,411.4,5.3
259,411.4,5.42
260,411.4,5.54
261,411.4,5.66
262,411.4,5.78
263,411.4,5.9
264,411.4,6.02
265,411.4,6.14
266,411.4,6.26
267,411.4,6.38
268,411.4,6.5
269,411.4,6.62
270,411.4,6.74
271,411.4,6.86
272,411.4,6.98
273,411.4,7.1
274,411.4,7.22
275,411.4,7.34
276,411.4,7.46
277,411.4,7.58
278,411.4,7.7
279,415.1,4.1
280,415.1,4.22
281,415.1,4.34
282,415.1,4.46
283,415.1,4.58
284,415.1,4.7
285,415.1,4.82
286,415.1,4.94
287,415.1,5.06
288,415.1,5.18
289,415.1,5.3
290,415.1,5.42
291,415.1,5.54
292,415.1,5.66
293,415.1,5.78
294,415.1,5.9
295,415.1,6.02
296,415.1,6.14
297,415.1,6.26
298,415.1,6.38
299,415.1,6.5
300,415.1,6.62
301,415.1,6.74
302,415.1,6.86
303,415.1,6.98
304,415.1,7.1
305,415.1,7.22
306,415.1,7.34
307,415.1,7.46
308,415.1,7.58
309,415.1,7.7
310,415.1,7.82
311,415.1,7.94
312,418.8,4.1
313,418.8,4.22
314,418.8,4.34
315,418.8,4.46
316,418.8,4.58
317,418.8,4.7
318,418.8,4.82
319,418.8,4.94
320,418.8,5.06
321,418.8,5.18
322,418.8,5.3
323,418.8,5.42
324,418.8,5.54
325,418.8,5.66
326,418.8,5.78
327,418.8,5.9
328,418.8,6.02
329,418.8,6.14
330,418.8,6.26
331,418.8,6.38
332,418.8,6.5
333,418.8,6.62
334,418.8,6.74
335,418.8,6.86
336,418.8,6.98
337,418.8,7.1
338,418.8,7.22
339,418.8,7.34
340,418.8,7.46
341,418.8,7.58
342,418.8,7.7
343,418.8,7.82
344,418.8,7.94
345,418.8,8.06
346,418.8,8.18
347,422.5,4.1
348,422.5,4.22
349,422.5,4.34
350,422.5,4.46
351,422.5,4.58
352,422.5,4.7
353,422.5,4.82
354,422.5,4.94
355,422.5,5.06
356,422.5,5.18
357,422.5,5.3
358,422.5,5.42
359,422.5,5.54
360,422.5,5.66
361,422.5,5.78
362,422.5,5.9
363,422.5,6.02
364,422.5,6.14
365,422.5,6.26
366,422.5,6.38
367,422.5,6.5
368,422.5,6.62
369,422.5,6.74
370,422.5,6.86
371,422.5,6.98
372,422.5,7.1
373,422.5,7.22
374,422.5,7.34
375,422.5,7.46
376,422.5,7.58
377,422.5,7.7
378,422.5,7.82
379,422.5,7.94
380,422.5,8.06
381,422.5,8.18
382,422.5,8.3
383,426.2,4.1
384,426.2,4.22
385,426.2,4.34
386,426.2,4.46
387,426.2,4.58
388,426.2,4.7
389,426.2,4.82
390,426.2,4.94
391,426.2,5.06
392,426.2,5.18
393,426.2,5.3
394,426.2,5.42
395,426.2,5.54
396,426.2,5.66
397,426.2,5.78
398,426.2,5.9
399,426.2,6.02
400,426.2,6.14
401,426.2,6.26
402,426.2,6.38
403,426.2,6.5
404,426.2,6.62
405,426.2,6.74
406,426.2,6.86
407,426.2,6.98
408,426.2,7.1
409,426.2,7.22
410,426.2,7.34
411,426.2,7.46
412,426.2,7.58
413,426.2,7.7
414,426.2,7.82
415,426.2,7.94
416,426.2,8.06
417,426.2,8.18
418,426.2,8.3
419,426.2,8.42
420,426.2,8.54
421,429.9,4.1
422,429.9,4.22
423,429.9,4.34
424,429.9,4.46
425,429.9,4.58
426,429.9,4.7
427,429.9,4.82
428,429.9,4.94
429,429.9,5.06
430,429.9,5.18
431,429.9,5.3
432,429.9,5.42
433,429.9,5.54
434,429.9,5.66
435,429.9,5.78
436,429.9,5.9
437,429.9,6.02
438,429.9,6.14
439,429.9,6.26
440,429.9,6.38
441,429.9,6.5
442,429.9,6.62
443,429.9,6.74
444,429.9,6.86
445,429.9,6.98
446,429.9,7.1
447,429.9,7.22
448,429.9,7.34
449,429.9,7.46
450,429.9,7.58
451,429.9,7.7
452,429.9,7.82
453,429.9,7.94
454,429.9,8.06
455,429.9,8.18
456,429.9,8.3
457,429.9,8.42
458,429.9,8.54
459,429.9,8.66
460,433.6,4.1
461,433.6,4.22
462,433.6,4.34
463,433.6,4.46
464,433.6,4.58
465,433.6,4.7
466,433.6,4.82
467,433.6,4.94
468,433.6,5.06
469,433.6,5.18
470,433.6,5.3
471,433.6,5.42
472,433.6,5.54
473,433.6,5.66
474,433.6,5.78
475,433.6,5.9
476,433.6,6.02
477,433.6,6.14
478,433.6,6.26
479,433.6,6.38
480,433.6,6.5
481,433.6,6.62
482,433.6,6.74
483,433.6,6.86
484,433.6,6.98
485,433.6,7.1
486,433.6,7.22
487,433.6,7.34
488,433.6,7.46
489,433.6,7.58
490,433.6,7.7
491,433.6,7.82
492,433.6,7.94
493,433.6,8.06
494,433.6,8.18
495,433.6,8.3
496,433.6,8.42
497,433.6,8.54
498,433.6,8.66
499,433.6,8.78
500,433.6,8.9
501,437.3,4.1
502,437.3,4.22
503,437.3,4.34
504,437.3,4.46
505,437.3,4.58
506,437.3,4.7
507,437.3,4.82
508,437.3,4.94
509,437.3,5.06
510,437.3,5.18
511,437.3,5.3
512,437.3,5.42
513,437.3,5.54
514,437.3,5.66
515,437.3,5.78
516,437.3,5.9
517,437.3,6.02
518,437.3,6.14
519,437.3,6.26
520,437.3,6.38
521,437.3,6.5
522,437.3,6.62
523,437.3,6.74
524,437.3,6.86
525,437.3,6.98
526,437.3,7.1
527,437.3,7.22
528,437.3,7.34
529,437.3,7.46
530,437.3,7.58
531,437.3,7.7
532,437.3,7.82
533,437.3,7.94
534,437.3,8.06
535,437.3,8.18
536,437.3,8.3
537,437.3,8.42
538,437.3,8.54
539,437.3,8.66
540,437.3,8.78
541,437.3,8.9
542,437.3,9.02
543,441,4.1
544,441,4.22
545,441,4.34
546,441,4.46
547,441,4.58
548,441,4.7
549,441,4.82
550,441,4.94
551,441,5.06
552,441,5.18
553,441,5.3
554,441,5.42
555,441,5.54
556,441,5.66
557,441,5.78
558,441,5.9
559,441,6.02
560,441,6.14
561,441,6.26
562,441,6.38
563,441,6.5
564,441,6.62
565,441,6.74
566,441,6.86
567,441,6.98
568,441,7.1
569,441,7.22
570,441,7.34
571,441,7.46
572,441,7.58
573,441,7.7
574,441,7.82
575,441,7.94
576,441,8.06
577,441,8.18
578,441,8.3
579,441,8.42
580,441,8.54
581,441,8.66
582,441,8.78
583,441,8.9
584,441,9.02
585,441,9.14
586,441,9.26
587,444.7,4.1
588,444.7,4.22
589,444.7,4.34
590,444.7,4.46
591,444.7,4.58
592,444.7,4.7
593,444.7,4.82
594,444.7,4.94
595,444.7,5.06
596,444.7,5.18
597,444.7,5.3
598,444.7,5.42
599,444.7,5.54
600,444.7,5.66
601,444.7,5.78
602,444.7,5.9
603,444.7,6.02
604,444.7,6.14
605,444.7,6.26
606,444.7,6.38
607,444.7,6.5
608,444.7,6.62
609,444.7,6.74
610,444.7,6.86
611,444.7,6.98
612,444.7,7.1
613,444.7,7.22
614,444.7,7.34
615,444.7,7.46
616,444.7,7.58
617,444.7,7.7
618,444.7,7.82
619,444.7,7.94
620,444.7,8.06
621,444.7,8.18
622,444.7,8.3
623,444.7,8.42
624,444.7,8.54
625,444.7,8.66
626,444.7,8.78
627,444.7,8.9
628,444.7,9.02
629,444.7,9.14
630,444.7,9.26
631,444.7,9.38
632,448.4,4.1
633,448.4,4.22
634,448.4,4.34
635,448.4,4.46
636,448.4,4.58
637,448.4,4.7
638,448.4,4.82
639,448.4,4.94
640,448.4,5.06
641,448.4,5.18
642,448.4,5.3
643,448.4,5.42
644,448.4,5.54
645,448.4,5.66
646,448.4,5.78
647,448.4,5.9
648,448.4,6.02
649,448.4,6.14
650,448.4,6.26
651,448.4,6.38
652,448.4,6.5
653,448.4,6.62
654,448.4,6.74
655,448.4,6.86
656,448.4,6.98
